movie, characters
X-Men Origins: Wolverine,LOGAN / WOLVERINE / WEAPON X : VICTOR CREED / SABRETOOTH : STRYKER : KAYLA SILVERFOX / SILVER FOX : WADE WILSON / DEADPOOL / WEAPON XI : JOHN WRAITH / KESTREL : REMY LEBEAU / THE GAMBIT : FRED DUKES / BLOB : CHRIS BRADLEY / BOLT : DAVID NORTH / AGENT ZERO : SCOTT SUMMERS / CYCLOPS : HEATHER HUDSON : TRAVIS HUDSON : JAMES : YOUNG VICTOR : JOHN HOWLETT : THOMAS LOGAN : ELIZABETH HOWLETT : FIRING SQUAD LEADER : CARNIVAL GUY : CARNIVAL GIRL : SCHOOL CHILD : LOGGING SUPERVISOR : PHELAN : MARCUSE : VAN MIER : BARTENDER : SURGEON : MALE NURSE #1 : MALE NURSE #2 : DR. CORNELIUS : DR. CAROL FROST : LEAD TECHNICIAN - ALKALI LAKE : GENERAL MUNSON : PLATOON LEADER : MUTTERING MAN : NERVOUS AFRICAN WOMAN : STRYKER AIDE : CURTIS : KAYLA'S SISTER / EMMA : POKER PLAYER : WOMAN OF THE NIGHT : HUGE DOORMAN : DRUNKEN MAN IN ALLEY : DRIVER : AFRICAN BUSINESSMAN : TEACHER : SPECIAL FORCES COMMANDER : VIETNAMESE CHILD : HUNTER #1 : HUNTER #2 : VIETNAM ARMY OFFICER : WAITRESS : TANK SOLDIER : VIETNAMESE MAN : VIETNAMESE WOMAN : MUTANT TWIN #1 : MUTANT TWIN #2 : WEAPON XI : HELICOPTER PILOT : CHARLES XAVIER / PROFESSOR X
X-Men: First Class,CHARLES XAVIER / PROFESSOR X : ERIK LEHNSHERR / MAGNETO : RAVEN DARKHOLME / MYSTIQUE : SEBASTIAN SHAW / BLACK BISHOP : MOIRA MACTAGGERT : HANK MCCOY / BEAST : EMMA FROST / WHITE QUEEN : AZAZEL : ALEX SUMMERS / HAVOK : SEAN CASSIDY / BANSHEE : ANGEL SALVADORE / TEMPEST : MAN IN BLACK SUIT : ARMANDO MUÑOZ / DARWIN : JANOS QUESTED / RIPTIDE : CIA DIRECTOR MCCONE : RUSSIAN GENERAL : COLONEL HENDRY : CAPTAIN : YOUNG RAVEN (10 YRS) : CHARLES XAVIER (12 YEARS) : MRS. XAVIER : YOUNG ERIK : WILLIAM STRYKER : LEVENE : US GENERAL : SECRETARY OF STATE : COMMUNICATIONS OFFICER : MYSTIQUE - OLDER : SOVIET NCO : RUSSIAN GENERAL'S BODYGUARD : CHIEF WARDEN : CO-ED : EDIE LENSHERR : MAN IN BLACK SUIT AGENT : ARAL SEA CAPTAIN : MR. LENSHERR (ERIK'S DAD) : SWISS BANK MANAGER : 1ST GERMAN / PIG FARMER : 2ND GERMAN / TAILOR
The Wolverine,LOGAN / WOLVERINE : SHINGEN : JEAN GREY / PHOENIX : HARADA : MARIKO YASHIDA : YUKIO : MADAME HYDRA / VIPER : YASHIDA : NOBURO MORI : CHARLES XAVIER / PROFESSOR X : ERIK LEHNSHERR / MAGNETO : YOUNG YASHIDA : POCK-FACE : AYA : RED BEARD : BAR MAN (RED BEARD'S FRIEND) : YUKON BAR PATRON : BUDDHIST PRIEST : FRUIT CART VENDOR : DYING YAKUZA : YASHIDA SECURITY GUARD
"X-Men Days of Future Past,LOGAN / WOLVERINE : CHARLES XAVIER / PROFESSOR X (YOUNG) : ERIK LEHNSHERR / MAGNETO (YOUNG) : RAVEN DARKHOLME / MYSTIQUE : ORORO MUNROE / STORM : MARIE D'ANCANTO / ROGUE : KATHERINE ""KITTY"" PRYDE / SHADOWCAT : BOLIVAR TRASK : ERIK LEHNSHERR / MAGNETO (OLD) : CHARLES XAVIER / PROFESSOR X (OLD) : HANK MCCOY / BEAST : HANK MCCOY / BEAST (OLDER) : BOBBY DRAKE / ICEMAN : LUCAS BISHOP : PIETRO MAXIMOFF / QUICKSILVER : WILLIAM STRYKER : PIOTR RASPUTIN / COLOSSUS : CLARICE FERGUSON / BLINK : ROBERTO DA COSTA / SUNSPOT : JAMES PROUDSTAR / WARPATH : JEAN GREY / PHOENIX : SCOTT SUMMERS / CYCLOPS : ALEX SUMMERS / HAVOK : MORTIMER TOYNBEE / TOAD : CONGRESMAN DAVIS : CONGRESSMAN PARKER : SENATOR BRICKMAN : INK : PRESIDENT RICHARD NIXON : MAN WITH A MOVIE CAMERA : EN SABAH NUR : GROUNDSKEEPER : PINSTRIPE MAFIOSO : COL. SANDERS : VIETNAM MP GUARD : MUTANT SOLDIER : QUARANTINE DOCTOR : CONGRESSMAN MCCARTER : TRASK SECRETARY : MS. MAXIMOFF : PENTAGON TOUR GUIDE : SURVEILLANCE GUARD : PENTAGON COOK : PENTAGON ELEVATOR GUARD : ARMED KITCHEN GUARD : GENERAL NHUAN : VIETNAMESE CAPTAIN : GENERAL PETROV : PEACE SUMMIT REPORTER : NIXON AIDE : SECRETARY OF DEFENSE : US ARMY GENERAL : DESK ANCHOR : FRENCH EMERGENCY NURSE : FRENCH TV REPORTER : FEMALE TRAVELER : BLUE SUIT TRAVELER : AIRPORT BACKPACKER : FLIGHT ATTENDANT : WHITE HOUSE REPORTER : WHITE HOUSE TICKET MAN : SECRET SERVICE AGENT : POTOMAC RIVER COP : CHINESE TRANSLATOR"
"X-Men: Apocalypse,PROFESSOR CHARLES XAVIER : ERIK LEHNSHERR / MAGNETO : RAVEN DARKHOLME / MYSTIQUE : HANK MCCOY / BEAST : EN SABAH NUR / APOCALYPSE : MOIRA MACTAGGERT : PIETRO MAXIMOFF / QUICKSILVER : COL. WILLIAM STRYKER : JEAN GREY / PHOENIX : SCOTT SUMMERS / CYCLOPS : ALEX SUMMERS / HAVOK : KURT WAGNER / NIGHTCRAWLER : WARREN WORTHINGTON III / ANGEL : ORORO MUNROE / STORM : JUBILATION LEE / JUBILEE : ELIZABETH 'BETSY' BRADDOCK / PSYLOCKE : HORSEMAN - PESTILENCE : HORSEMAN - FAMINE : HORSEMAN - DEATH : HORSEMAN - WAR : LEAD CONSPIRACY GUARD : CONSPIRATOR GUARD : HIGH PRIEST : OLD APOCALYPSE : SCOTT'S TEACHER : SCHOOL JOCK : SCHOOL CHEERLEADER : FIGHT ANNOUNCER : DEFEATED ""BLOB"" : ELECTRIC PANEL GUARD : MR. SUMMERS : MRS. SUMMERS : FALAFEL SHOP OWNER : CLAN AKKABA LEADER : CLAN AKKABA DISCIPLE : MAGDA : NINA : CAIRO SHOE SHOP VENDOR : MILOSZ : POLISH WORKER : LEAD POLISH INSPECTOR : JAKOB : POLISH POLICE ARCHER : THREATENING CAIRO VENDOR : EGYPTIAN STREET VENDOR : CALIBAN : CNN REPORTER : MS. MAXIMOFF : NEWS ANCHOR : HIMSELF : HERSELF : PENTAGON GENERAL HASTINGS : PENTAGON GENERAL RADFORD : PENTAGON GENERAL FIELDS : DEFENSE SECRETARY WEISBERG : MILITARY OFFICIAL BROWN : MILITARY SUBMARINE OFFICIAL : AIR FORCE OFFICIAL : FOYER STUDENT : FISH BOWL GIRL : KISSING GIRL : KISSING GUY : COMPUTER GUY : DARTS GUY : TAB GIRL : PIZZA DOG : STUDENT IN DRAPES : TABLE SURFING STUDENT : ALKALI SOLDIER : ALKALI GUARD : ALKALI COMMUNICATIONS OFFICER : CONFUSED TECH : KENYAN TEACHER : PENTAGON SCIENTIST : FISHING BOAT CAPTAIN : FINSHERMAN : HARBOR MASTER : HARBOR EMPLOYEE : RUSSIAN SUBMARINE SAILORS : RUSSIAN SUBMARINE SAILOR : US WEAPONS TECHNICIAN : MYSTERY MAN"
Logan,LOGAN HOWLETT / WOLVERINE / X-24 : CHARLES XAVIER / PROFESSOR X : LAURA KINNEY / X-23 : DONALD PIERCE : CALIBAN : DR. ZANDER RICE : LAURA (DOUBLE) : WILL MUNSON : KATHRYN MUNSON : GABRIELA LOPEZ : MARIA : RHODES : VALET : RICTOR : MOHAWK : DELILAH : NATE MUNSON : FEDERALE COMMANDER : FEDERALE LIEUTENANT : FEDERALE : REY (AS REY GALLEGOS) : MACON : BONE BREAKER : PRETTY BOY : REAVER : MOTEL MANAGER : REBECCA : BOBBY : CHARLOTTE : LIZARD BOY : MEXICAN STAFF MEMBER : JACKSON : BARTENDER : OLD DOCTOR : PROM TEEN #1 : PROM TEEN #2 : PROM TEEN #3 : PROM TEEN #4 : BRIDESMAID : PASTOR : MOURNING WIDOW : INFIRMARY NURSE : CAR DEALER : MAJOR : BANGER : PINE CONE GIRL : JONAH : MUTANT CHILD : GLOWING EYES BOY : JACKSON'S HENCHMAN : SCREAMING CASINO WOMAN : BUMPY SKINNED KID : BORDER GUARD : HELICOPTER PILOT : CONVENIENCE STORE CLERK
"Deadpool,WADE WILSON / DEADPOOL : VANESSA CARLYSLE / COPYCAT : FRANCIS FREEMAN / AJAX : JACK ""WEASEL"" HAMMER : CHRISTINA / ANGEL DUST : BLIND AL : ELLIE PHIMISTER / NEGASONIC TEENAGE WARHEAD : THE RECRUITER : PIOTR RASPUTIN / COLOSSUS (VOICE) : DOPINDER : BUCK : BOOTHE : WARLORD : JEREMY (PIZZA GUY) : GAVIN MERCHANT : MEGHAN ORLOVSKY : TEEN GIRL #1 : TEEN GIRL #2 : ARCADE TICKET TAKER : ONCOLOGIST : DAVID CUNNINGHAM : CHINATOWN MERCHANT : WHISPER GIRLFRIEND : WHISPER BOYFRIEND : POOL HALL GOON : FIGHT CLUB BOSS : GARBAGE TRUCK DRIVER : SUPER SOLDIER #1 : SUPER SOLDIER #2 : STRIP CLUB DJ : NO5 ORANGE MANAGER : STRIP CLUB WORKER : FLIGHT DECK GUARD : BOB"
Blade,BLADE : DEACON FROST : WHISTLER : KAREN : QUINN : DRAGONETTI : MERCURY : RACQUEL : KRIEGER : CURTIS WEBB : VANESSA : PEARL : NURSE : SENIOR RESIDENT : RESIDENT : HEATSEEKING DENNIS : CREEPY MORGUE GUY : PALLANTINE : JAPANESE DOORMAN : KAM : PARAMEDIC : PRAGMATIC POLICEMAN : BLOOD CLUB BOUNCER : MARTIAL ARTS KID : LYLE CONWAY : MENACING STUD : VAMPIRE UNDERLING : FROST'S GOON : VON ESPER : CREASE : PLEADING GOON : PARTY GIRL : SLAVIC VAMPIRE LORD : RUSSIAN WOMAN : RUSSIAN VAMPIRE : CARDBOARD CUT-OUT IN SUBWAY : VAMPIRE VICTIM : BLOOD BATH VAMPIRE
Blade II,BLADE : WHISTLER : REINHARDT : NYSSA : SCUD : DAMASKINOS : NOMAK : CHUPA : ASAD : SNOWMAN : KOUNEN : VERLAINE : PRIEST : LIGHTHAMMER : RUSH : JIGSAW : GOLEM : BLOOD BANK DOCTOR / REAPER : BLOOD BANK GUARD / REAPER : BLOOD BANK NURSE : DRUG DEALER : BLOOD BANK GUARD : VAMPIRE WITH EXPOSED SPINE : REAPER : ST. CLOUD : CHOAD : LITTLE G : TEA BAG : MAN IN LONDON PORNO SHOP : YOUNG BLADE
Blade Trinity,BLADE : WHISTLER : DRAKE : ABIGAIL WHISTLER : HANNIBAL KING : DANICA TALOS : CHIEF MARTIN VREEDE : DR. EDGAR VANCE : ASHER TALOS : JARKO GRIMWOOD : WOLFE : VIRAGO : WILSON HALE : RAY CUMBERLAND : SOMMERFIELD : ZOE : HEDGES : BENTLEY TITTLE : GOTH VIXEN WANNABE : STONE
Ghost Rider,JOHNNY BLAZE / GHOST RIDER : ROXANNE SIMPSON : BLACKHEART / BLACK KING : MACK : CARTER SLADE / PHANTOM RIDER : MEPHISTOPHELES : BARTON BLAZE : YOUNG JOHNNY BLAZE : YOUNG ROXANNE SIMPSON : TEAM BLAZE : X GAMES ANNOUNCER : MOTORCYCLE GANG MEMBER : BROKEN SPOKE WAITRESS : GOTH GIRL IN ALLEY : WALLOW : ABIGOR
Ghost Rider 2: Spirit of Vengeance,JOHNNY BLAZE / GHOST RIDER : ROARKE / THE DEVIL : NADYA : DANNY : RAY CARRIGAN / BLACKOUT : METHODIUS : MOREAU : BENEDICT : GRANNIK : TERROKOV : TOMA NIKASEVIC
The Fantastic Four,DR. REED RICHARDS : JOHNNY STORM : SUSAN STORM : BEN GRIMM : DR. DOOM / VICTOR VON DOOM : THING : JEWELER : PROFESSOR : ALICIA MASTERS : WEASEL : MRS. STORM : KRAGSTADT : TRIGORIN : DR. HAUPTMAN : MESSENGER
Fantastic 4: Rise of the Silver Surfer,REED RICHARDS / MR. FANTASTIC : SUE RICHARDS / INVISIBLE WOMAN : JOHNNY STORM / HUMAN TORCH : BEN GRIMM / THE THING : VICTOR VON DOOM / DOCTOR DOOM : ALICIA MASTERS : GENERAL HAGER : NORRIN RADD / SILVER SURFER (VOICE) : NORRIN RADD / SILVER SURFER : FRANKIE RAYE : PRIEST : JAMES SHERMAN / RAFKE : DR. JEFF WAGNER : BAXTER BUILDING DOORMAN : HOT PARTY GIRL #3 : JOHNNY'S WEDDING DATE : STAN LEE - REJECTED WEDDING GUEST : TAILOR 
Elektra,ELEKTRA NATCHIOS / ELEKTRA : MARK MILLER : KIRIGI : ROSHI : STICK : TYPHOID MARY / TYPHOID : ABBY MILLER : MCCABE : KINKOU : TATTOO : STONE : BAUER : MEIZUMI : YOUNG ELEKTRA : POOL SHARK : HAND NINJA #2 : ROSHI SERVANT : NIKOLAS NATCHIOS : HAND NINJA #1 : YOUNG ELEKTRA'S MOTHER : MATT MURDOCK (DIRECTOR'S CUT ONLY)
Daredevil,MATT MURDOCK / DAREDEVIL : ELEKTRA NATCHIOS : LESTER / BULLSEYE : WILSON FISK / THE KINGPIN : FRANKLIN 'FOGGY' NELSON : YOUNG MATT : KAREN PAGE : BEN URICH : WESLEY OWEN WELCH : NICK MANOLIS : NIKOLAS NATCHIOS : FATHER EVERETT : JOSE QUESADA : JACK MURDOCK : ABUSIVE FATHER : MEAT PACKER : QUESADA ATTORNEY : RING ANNOUNCER : ANGELA SUTTON : JUDGE #1 : JOSIE : NY COP #1 : KID #1 : KID #2 : KID #3 : STAVROS : OLD LADY ON PLANE : FLIGHT ATTENDANT : LITTLE BOY : ROOKIE COP : DRUNKEN ENGLISHMAN : SHARPSHOOTER : JACK KIRBY, FORENSIC ASSISTANT : QUESADA'S FRIEND #1 : QUESADA'S FRIEND #2 : BOXING REFEREE #1 : BOXING REFEREE #2 : OLD MAN AT CROSSING : QUESADA'S FRIEND #3 : SWAT LEADER : POLICEMAN : WAITRESS : GREEK PRIEST : FISK BODYGUARD : BULLY #1 : BULLY #2 : BULLY #3 : STAVROS' FRIEND : MAN WITH PEN IN HEAD
Spider-Man,PETER PARKER / SPIDER-MAN : NORMAN OSBORN / GREEN GOBLIN : MARY JANE WATSON : HARRY OSBORN : BEN PARKER : MAY PARKER : J. JONAH JAMESON : FLASH THOMPSON : JOSEPH 'ROBBIE' ROBERTSON : CARJACKER : BETTY BRANT : DR. MENDELL STROMM : BONE SAW MCGRAW : CHECK-IN GIRL : PUNK ROCK GIRL : RING ANNOUNCER : HOFFMAN : MAN IN FAIR : HERSELF : STUNTS : TUGBOAT CAPTAIN : MAXIMILIAN FARGAS : SIMKINS : HENRY BALKAN : GENERAL SLOCUM : TEACHER : HOUSEMAN : SUBWAY GUITARIST : COP AT CARJACKING : LAB TOUR GUIDE : WRESTLING PROMOTER : WRESTLING ARENA GUARD : FLASH'S CRONY : DOCTOR : HECKLER : COP AT FIRE : MOTHER AT FIRE : CABBIE : OPINIONATED COP : SURLY TRUCK DRIVER : PHILIP WATSON : CHAPERONE IN TRAM : GIRL IN TRAM : BOY IN TRAM : PROJECT COORDINATOR : MADELINE WATSON : BILLY'S MOM : FIREMAN : YOUNG LADY AT FIRE : MARINE COP
Spider-Man 2,PETER PARKER / SPIDER-MAN : MARY JANE WATSON : HARRY OSBORN : DR. OTTO OCTAVIUS / DOCTOR OCTOPUS : MAY PARKER : ROSALIE OCTAVIUS : J. JONAH JAMESON : JOHN JAMESON : DR. CURT CONNORS : NORMAN OSBORN : URSULA : SNOOTY USHER : MAN DODGING DEBRIS : MAN ON BALCONY : MR. JACKS : ELEVATOR PASSENGER : PIZZA 'HEIST' WITNESS : RECEPTIONIST : MISS BRANT : RAYMOND : MR. AZIZ : TRAIN PASSENGER : LOUISE : WOMAN AT WEB : DOCTOR : DR. DAVIS : HOFFMAN : BEN PARKER : MR. DITKOVICH : JOSEPH 'ROBBIE' ROBERTSON : GARBAGE MAN : MRS. JAMESON : HOUSEMAN : SKEPTICAL SCIENTIST : OSCORP REPRESENTATIVE : POKER PLAYER : AMAZED KID : ALGERNON : THEATER TRAFFIC COP : JACK : CLAWING NURSE : TRAIN CONDUCTOR : SOCIETY WOMAN : DR. ISAACS : MRS. WATSON : INJURED SCIENTIST : VIOLINIST : FIREMAN : WOMAN AT FIRE : SCREAMING NURSE : CHAINSAW DOCTOR
Spider-Man 3,PETER PARKER / SPIDER-MAN : MARY JANE WATSON : HARRY OSBORN / NEW GOBLIN : FLINT MARKO / SANDMAN : EDDIE BROCK / VENOM : GWEN STACEY : MAY PARKER : CAPTAIN STACEY : J. JONAH JAMESON : MRS. MARKO : DR. CURT CONNORS : JOSEPH ROBERTSON : MISS BRANT : HOFFMAN : PENNY MARKO : NORMAN OSBORN / GREEN GOBLIN : BEN PARKER : MR. DITKOVITCH : URSULA : DENNIS CARRADINE / CARJACKER : FLASH THOMPSON : MAN IN TIMES SQUARE : MAÎTRE D : PIANIST : DRIVER : JOHN JAMESON : HOUSEMAN : MRS. STACY : PHOTOGRAPHER : ANCHORMAN : JENNIFER DUGAN : CONGRATULATORY WOMAN AT DAILY BUGLE : CRANE DISASTER RADIO POLICEMAN : PLAY DIRECTOR : PLAY PRODUCER : JAZZ CLUB MANAGER : PRECINCT DETECTIVE : EMERGENCY ROOM DOCTOR : CRANE OPERATOR : WOMAN OUTSIDE THEATER : POLICE DETECTIVE : NEW JERSEY STATE POLICEMAN : TEST SITE TECHNICIAN : ICU NURSE : COP AT CRANE DISASTER : MARY JANE'S REPLACEMENT : BOY AT KEY TO THE CITY CEREMONY : COUNCILWOMAN : POLICEMAN AT SAND TRUCK : ARMORED CAR DRIVER : NEWSTAND PATRON : COFFEE SHOP WAITRESS : JAZZ CLUB WAITRESS : JAZZ CLUB BOUNCER : PHOTOSHOOT CLIENT
The Amazing Spider-Man,PETER PARKER / SPIDER-MAN : GWEN STACY : DR. CURT CONNORS / THE LIZARD : CAPTAIN STACY : RICHARD PARKER : RAJIT RATHA : UNCLE BEN : AUNT MAY : PETER PARKER (AGE 4) : FLASH THOMPSON : MARY PARKER : CASH REGISTER THIEF : MISSY KALLENBACK : SALLY AVRIL : JACK'S FATHER : SCHOOL LIBRARIAN : MAN IN THE SHADOWS : HELEN STACY : PHILIP STACY : HOWARD STACY : SIMON STACY : JACK : MR. CRAMER : MISS RITTER : NICKY'S GIRLFRIEND : STORE CLERK : GORDON : PHYSICS NERD : NICKY : CAR THIEF : CAR THIEF COP : POLICE OFFICER : OFFICER (SWAT) : NEWSCASTER (NEWS CHOPPER) : RECEPTIONIST : OSCORP INTERN : RODRIGO GUEVARA : CONSTRUCTION WORKER : TAXI DRIVER : POLICE OFFICER WITH SKETCH : SHEILA (SUBWAY) : SUBWAY GUY : PRINCIPAL : SECOND GIRL (SUBWAY) : ARIEL
The Amazing Spider-Man 2,PETER PARKER / SPIDER-MAN : GWEN STACY : MAX DILLON / ELECTRO : HARRY OSBORN / GREEN GOBLIN : RICHARD PARKER : MARY PARKER : DONALD MENKEN : AUNT MAY : YOUNG PETER PARKER : FELICIA HARDY : DR. ASHLEY KAFKA : NORMAN OSBORN : ALLISTAR SMYTHE : CAPTAIN STACY : HELEN STACY : PHILIP STACY : HOWARD STACY : SIMON STACY : GRADUATION GUEST : GUSTAV FIERS / THE GENTLEMAN : WOMAN IN STATUE OF LIBERTY COSTUME : DR. JALLINGS - SCIENCE INVESTIGATOR : MAN IN BLACK SUIT : KARI : AGENT BERKLEY : UNCLE BEN : SWAT TEAM LEADER : JORGE : G-5 CO-PILOT : GWEN'S CABBIE : BRITISH DESK ATTENDANT : PRINCIPAL CONWAY : TIMES SQUARE COP : LEAD OFFICER : POLICE CAPTAIN : BODEGA CASHIER : ROBBER : AIR TRAFFIC CONTROLLER : DISPATCHER : OSBORN BUTLER : PILOT : JORGE'S MOTHER : NY1 NEWS ANCHOR : NY1 REPORTER : CHINESE GRANDPA : ARMED ROBBER : RAVENCROFT GUARD : BULLY : DOCTOR : OSCORP DEPARTMENT HEAD : TIMES SQUARE BYSTANDER : CORPORATE LAWYER
The Punisher,FRANK CASTLE / THE PUNISHER : HOWARD SAINT : QUENTIN GLASS : FRANK CASTLE, SR. : LIVIA SAINT : SPECKER DAVE : MARIA : BOBBY SAINT : JIMMY WEEKS : MICKEY DUKA : BUMPO : JOAN : HARRY HECK : WILL CASTLE : JOE TORO : TATTOOED MIKE : T.J. : BAY NEWS 9 NEWSCASTER : TORO CROUPIER : EMT : POLICE CHIEF MORRIS : BETTY CASTLE : CANDELARIA : ACCOUNTANT #1 : ACCOUNTANT #2 : ACCOUNTANT #3 : SPOON : DANTE : THE RUSSIAN : LINCOLN : SAINT PUERTO RICO ENFORCER : YURI ASTROV
Punisher: War Zone,FRANK CASTLE / THE PUNISHER : BILLY RUSSOTI / JIGSAW : ANGELA DONATELLI : PAUL BUDIANSKY : LOONY BIN JIM : MARTIN SOAP : MICRO : GRACE DONATELLI : PITTSY : NICKY : INK : AGENT MILLER : CAPTAIN ROSS : SAFFIOTTI : MAGINTY : CARLOS : CRISTU BULAT
Ant-Man,SCOTT LANG / ANT-MAN : DR. HANK PYM : HOPE VAN DYNE : DARREN CROSS / YELLOWJACKET : PAXTON : LUIS : DAVE : SAM WILSON / FALCON : GALE : MAGGIE LANG : CASSIE LANG : KURT : MITCHELL CARSON : PEGGY CARTER : HOWARD STARK : CAR DRIVER : DALE : HYDRA BUYER : FRANK : BUYER : YOUNG PYM : JANET VAN DYNE / THE WASP : SPANISH WOMAN : YOUNG DAUGHTER : RAVER : POOL BBQ DAD : POOL BBQ MOM : POOL BBQ KID : PYM TECH GATE GUARD : PYM TECH SECURITY GUARD : EMT : GORGEOUS BLONDE : SUPERIOR OFFICER : ICE CREAM STORE CUSTOMER : ERNESTO : CARLOS : EMILY : PEACHY : COP ON SPEAKER : ALPHA GUARD : BETA GUARD : VAULT GUARD : ARMED GUARD : LAB GUARD : LAB TECH : IGNACIO : WRITER : BARTENDER : HIDEOUS RABBIT (VOICE) : HELICOPTER PILOT
